ring_ID,Week_Day,Month_Date,Month,Year,Time,Doorbot_Description,Kind,Detection_Type
6981199817597521000,Sun,04,Jul,2021,15:20:49,Front Door,motion,human
6981200354468433000,Sun,04,Jul,2021,15:22:54,Front Door,motion,human
6981200826914835000,Sun,04,Jul,2021,15:24:45,Front Door,motion,human
6981201668728425000,Sun,04,Jul,2021,15:28:00,Front Door,motion,human
6981202029505678000,Sun,04,Jul,2021,15:29:25,Front Door,motion,human
6981204357377953000,Sun,04,Jul,2021,15:38:26,Front Door,motion,other_motion
6981217083366051000,Sun,04,Jul,2021,16:27:48,Front Door,motion,human
6981217461323173000,Sun,04,Jul,2021,16:29:16,Front Door,motion,human
6981217753380949000,Sun,04,Jul,2021,16:30:26,Front Door,motion,other_motion
6981218243007221000,Sun,04,Jul,2021,16:32:19,Front Door,motion,human
6981221863664651000,Sun,04,Jul,2021,16:46:20,Front Door,motion,human
6981238107230965000,Sun,04,Jul,2021,17:49:23,Front Door,motion,other_motion
6981238545317629000,Sun,04,Jul,2021,17:51:05,Front Door,motion,other_motion
6981239112253312000,Sun,04,Jul,2021,17:53:17,Front Door,motion,human
6981239455850696000,Sun,04,Jul,2021,17:54:37,Front Door,motion,human
6981239730728603000,Sun,04,Jul,2021,17:55:41,Front Door,motion,human
6981240160225332000,Sun,04,Jul,2021,17:57:20,Front Door,motion,human
6981240624081800000,Sun,04,Jul,2021,17:59:09,Front Door,motion,human
6981247358590520000,Sun,04,Jul,2021,18:25:18,Front Door,motion,human
6981252044399840000,Sun,04,Jul,2021,18:43:28,Front Door,motion,human
6981262206292463000,Sun,04,Jul,2021,19:22:53,Front Door,motion,human
6981268872081706000,Sun,04,Jul,2021,19:48:45,Front Door,motion,human
6981271144119406000,Sun,04,Jul,2021,19:57:36,Front Door,motion,human
6981271470536920000,Sun,04,Jul,2021,19:58:50,Front Door,motion,human
6981271745414827000,Sun,04,Jul,2021,19:59:56,Front Door,motion,human
6981272561458613000,Sun,04,Jul,2021,20:03:04,Front Door,motion,human
6981272827746586000,Sun,04,Jul,2021,20:04:08,Front Door,motion,human
6981274717532196000,Sun,04,Jul,2021,20:11:28,Front Door,motion,other_motion
6981275366072258000,Sun,04,Jul,2021,20:13:59,Front Door,motion,human
6981275683899837000,Sun,04,Jul,2021,20:15:13,Front Door,motion,human
6981275980252581000,Sun,04,Jul,2021,20:16:23,Front Door,motion,human
6981276435519114000,Sun,04,Jul,2021,20:18:06,Front Door,motion,human
6981276950915190000,Sun,04,Jul,2021,20:20:07,Front Door,motion,human
6981277221498129000,Sun,04,Jul,2021,20:21:11,Front Door,motion,human
6981277603750219000,Sun,04,Jul,2021,20:22:40,Front Door,motion,other_motion
6981277882923093000,Sun,04,Jul,2021,20:23:44,Front Door,motion,human
6981278956664917000,Sun,04,Jul,2021,20:27:54,Front Door,motion,other_motion
6981279489240862000,Sun,04,Jul,2021,20:29:57,Front Door,motion,human
6981279751233867000,Sun,04,Jul,2021,20:31:01,Front Door,motion,human
6981280137780923000,Sun,04,Jul,2021,20:32:29,Front Door,motion,human
6981280498558176000,Sun,04,Jul,2021,20:33:54,Front Door,motion,other_motion
6981280799205887000,Sun,04,Jul,2021,20:35:04,Front Door,motion,human
6981283685423910000,Sun,04,Jul,2021,20:46:16,Front Door,motion,human
6981288431362772000,Sun,04,Jul,2021,21:04:41,Front Door,motion,human
6981288706240679000,Sun,04,Jul,2021,21:05:45,Front Door,motion,human
6981289114262572000,Sun,04,Jul,2021,21:07:20,Front Door,motion,human
6981289423500217000,Sun,04,Jul,2021,21:08:32,Front Door,motion,human
6981289913126489000,Sun,04,Jul,2021,21:10:25,Front Door,motion,human
6981290230954069000,Sun,04,Jul,2021,21:11:39,Front Door,motion,other_motion
6981290673335700000,Sun,04,Jul,2021,21:13:23,Front Door,motion,other_motion
6981291171551907000,Sun,04,Jul,2021,21:15:20,Front Door,motion,human
6981291893106413000,Sun,04,Jul,2021,21:18:07,Front Door,motion,other_motion
6981293069927452000,Sun,04,Jul,2021,21:22:40,Front Door,motion,human
6981293361985228000,Sun,04,Jul,2021,21:23:48,Front Door,motion,other_motion
6981304039273926000,Sun,04,Jul,2021,22:05:16,Front Door,motion,human
6981304365691440000,Sun,04,Jul,2021,22:06:30,Front Door,motion,human
6981304687813987000,Sun,04,Jul,2021,22:07:47,Front Door,motion,human
